Gene	LINC1KD-1-D2-NTC_ATCACG_L008	LINC1KD-2-D2-658_CGATGT_L008	LINC1KD-3-D3-NTC_TTAGGC_L008	LINC1KD-4-1D3-658_TGACCA_L008	LINC1KD-5-2D3-NTC_GCCAAT_L008	LINC1KD-6-2D3-658_TAGCTT_L008
ENSMUSG00000000001.4	1864	1811	1330	1652	1378	1779
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.14	1043	1356	849	1200	1052	1142
ENSMUSG00000000031.15	833	941	710	1500	1049	1587
ENSMUSG00000000037.16	33	63	62	68	59	84
ENSMUSG00000000049.11	0	0	0	0	0	0
ENSMUSG00000000056.7	486	288	265	337	336	362
ENSMUSG00000000058.6	0	0	3	3	1	0
ENSMUSG00000000078.6	377	604	433	601	484	695
ENSMUSG00000000085.16	295	446	211	342	244	309
ENSMUSG00000000088.7	10141	12797	7345	13828	8331	13644
ENSMUSG00000000093.6	3	0	4	0	2	8
ENSMUSG00000000094.12	17	26	32	47	34	40
ENSMUSG00000000103.12	0	0	0	0	0	0
ENSMUSG00000000120.6	604	681	837	885	642	631
ENSMUSG00000000125.5	0	0	1	8	9	10
ENSMUSG00000000126.11	30	31	15	34	29	19
ENSMUSG00000000127.14	143	149	131	134	114	129
ENSMUSG00000000131.15	3631	3883	2670	3390	3119	3051
ENSMUSG00000000134.17	1484	1848	1025	2013	1327	1550
ENSMUSG00000000142.15	300	243	384	471	300	279
ENSMUSG00000000148.17	728	731	548	593	614	597
ENSMUSG00000000149.10	1499	1892	1111	1762	1574	1670
ENSMUSG00000000154.16	10	9	11	12	26	18
ENSMUSG00000000157.15	0	0	0	0	0	0
ENSMUSG00000000159.15	0	8	1	3	4	0
ENSMUSG00000000167.14	0	14	2	18	11	3
ENSMUSG00000000168.9	1485	1325	968	1565	1295	1435
ENSMUSG00000000171.5	3272	4070	2509	4312	3206	4639
ENSMUSG00000000182.9	0	4	0	4	1	0
ENSMUSG00000000183.6	0	0	0	0	0	0
ENSMUSG00000000184.12	361	259	707	402	516	178
ENSMUSG00000000194.13	999	1330	1089	1022	1146	1103
ENSMUSG00000000197.7	0	7	3	0	1	12
ENSMUSG00000000202.9	8	0	3	8	0	1
ENSMUSG00000000204.16	0	3	0	0	0	0
ENSMUSG00000000214.11	0	0	0	0	0	5
ENSMUSG00000000215.11	0	0	0	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0
ENSMUSG00000000223.13	20	29	51	31	30	17
ENSMUSG00000000244.17	25	30	52	59	40	43
ENSMUSG00000000247.11	36	29	25	45	34	50
ENSMUSG00000000248.16	0	0	0	0	0	0
ENSMUSG00000000253.12	193	272	177	324	231	245
ENSMUSG00000000263.15	0	0	0	1	1	0
ENSMUSG00000000266.11	0	11	0	0	4	3
ENSMUSG00000000275.16	7863	9154	6657	8738	6390	7827
ENSMUSG00000000276.11	801	772	488	759	478	682
ENSMUSG00000000278.10	2461	2583	2233	2364	2789	2468
ENSMUSG00000000282.12	994	995	833	1214	989	899
ENSMUSG00000000290.13	0	0	4	1	2	7
ENSMUSG00000000295.13	221	253	162	227	154	276
ENSMUSG00000000296.8	416	543	330	671	435	664
ENSMUSG00000000301.16	47	111	106	117	132	132
ENSMUSG00000000303.12	6156	7363	5532	7714	4607	6695
ENSMUSG00000000305.12	348	360	286	314	299	218
ENSMUSG00000000308.14	467	335	523	482	446	286
ENSMUSG00000000317.11	168	251	134	337	116	178
ENSMUSG00000000318.16	0	0	0	1	2	18
ENSMUSG00000000320.10	35	28	27	39	49	34
ENSMUSG00000000325.15	1349	1927	1169	1774	1361	1517
ENSMUSG00000000326.12	848	850	1384	1536	702	859
ENSMUSG00000000339.14	1288	1215	808	1477	1094	1360
ENSMUSG00000000340.10	226	392	272	478	205	429
ENSMUSG00000000346.8	1461	1651	1033	1616	1298	1535
ENSMUSG00000000355.13	53	66	33	74	37	36
ENSMUSG00000000359.3	0	13	0	0	5	4
ENSMUSG00000000365.8	372	318	250	433	264	438
ENSMUSG00000000374.8	761	845	542	816	643	770
ENSMUSG00000000378.15	1503	1757	909	1804	1377	1751
ENSMUSG00000000381.10	0	0	0	0	0	0
ENSMUSG00000000384.15	4965	4782	3739	5640	4681	4722
ENSMUSG00000000385.7	13	2	9	6	5	0
ENSMUSG00000000386.14	0	0	0	0	0	0
ENSMUSG00000000392.17	0	0	0	0	0	0
ENSMUSG00000000394.15	0	0	0	0	0	0
ENSMUSG00000000399.10	941	1423	937	1261	933	1388
ENSMUSG00000000402.2	61	44	69	85	60	40
ENSMUSG00000000409.14	470	582	339	542	372	514
ENSMUSG00000000411.7	0	5	0	0	0	0
ENSMUSG00000000416.16	34	11	37	9	14	27
ENSMUSG00000000420.15	1044	1349	654	1085	742	1213
ENSMUSG00000000435.1	0	0	0	0	0	0
ENSMUSG00000000439.9	872	893	684	858	858	897
ENSMUSG00000000440.12	0	0	0	1	0	0
ENSMUSG00000000441.17	2997	3733	2734	3599	3292	3920
ENSMUSG00000000486.13	3106	3742	3377	4047	3396	2667
ENSMUSG00000000489.6	59	61	53	81	71	53
ENSMUSG00000000530.16	27	64	40	38	55	38
ENSMUSG00000000531.4	1499	1336	906	1111	1358	1072
ENSMUSG00000000532.10	1464	1422	989	934	1191	1052
ENSMUSG00000000538.18	673	396	457	366	542	397
ENSMUSG00000000544.14	979	972	998	919	1201	825
ENSMUSG00000000552.9	842	900	599	819	933	803
