Gene	LINC1KD-1-D2-NTC_ATCACG_L008	LINC1KD-2-D2-658_CGATGT_L008	LINC1KD-3-D3-NTC_TTAGGC_L008	LINC1KD-4-1D3-658_TGACCA_L008	LINC1KD-5-2D3-NTC_GCCAAT_L008	LINC1KD-6-2D3-658_TAGCTT_L008
ENSMUSG00000000031.15	837	941	714	1510	1052	1594
ENSMUSG00000006462.6	0	0	0	0	0	0
ENSMUSG00000006638.14	45	65	89	80	78	73
ENSMUSG00000010492.10	0	0	3	3	0	0
ENSMUSG00000011052.6	0	0	0	0	0	0
ENSMUSG00000011350.15	0	0	0	0	0	0
ENSMUSG00000013562.12	0	0	0	0	0	0
ENSMUSG00000015451.16	15	12	5	10	7	26
ENSMUSG00000018451.6	0	10	10	27	14	32
ENSMUSG00000020033.2	0	0	0	0	0	0
ENSMUSG00000020164.7	0	0	0	0	0	0
ENSMUSG00000020624.3	0	0	0	0	0	0
ENSMUSG00000020887.3	0	0	0	0	0	0
ENSMUSG00000020992.4	0	0	0	0	0	0
ENSMUSG00000021268.17	3416	4263	2691	5593	2657	5056
ENSMUSG00000021566.6	0	0	0	0	0	0
ENSMUSG00000021874.12	5	16	1	11	4	3
ENSMUSG00000022116.7	0	0	1	0	0	3
ENSMUSG00000022187.2	0	0	0	0	0	0
ENSMUSG00000022639.14	39	58	54	41	41	56
ENSMUSG00000022915.3	0	0	0	0	0	0
ENSMUSG00000023737.14	0	0	0	0	0	0
ENSMUSG00000024658.7	0	16	11	8	1	0
ENSMUSG00000024845.17	570	795	376	639	668	639
ENSMUSG00000025450.4	0	0	0	0	0	0
ENSMUSG00000025644.10	2	0	0	0	1	2
ENSMUSG00000026729.9	0	0	0	0	0	0
ENSMUSG00000027196.11	0	0	0	0	2	0
ENSMUSG00000027345.6	0	0	0	0	0	0
ENSMUSG00000028009.7	0	0	0	0	0	0
ENSMUSG00000028177.13	11	0	3	0	4	4
ENSMUSG00000028244.6	0	0	0	0	0	0
ENSMUSG00000028590.6	0	0	0	7	0	0
